"Description","Industry","Org Id","Created At","Specialities","Website","Slug","Country","Size","Enrich Company","Locality","Updated At","Employee Count","Company URL"
"Superior data for decision-making.

Daloopa is the only AI solution for investment research data. We extract any data type and service financial institutions including asset managers, investment banks and governments. Our customers focus on decision-making, not on obtaining and checking data.

Ask us about high quality historical data for any public company.

Get in touch at hello@daloopa.com.","Software Development",18978813,"2023-10-02T16:49:53.000Z","","daloopa.com","daloopa","US","51-200 employees","Daloopa","New York, NY","2023-10-02T17:10:49.842Z",177,"http://www.linkedin.com/company/daloopa"
"You can never surpass the thrill of online games. The adrenaline rush you get, skill enhancement, the surge in focus, patience test, everything combines it all. Dangal Games is recognised as one of India's most loved online gaming platforms.","Computer Games",71592669,"2023-10-02T16:49:53.000Z","","dangalgames.com","dangal-games","IN","51-200 employees","Dangal Games","New Delhi, Delhi","2023-10-02T17:10:49.842Z",70,"https://linkedin.com/company/dangal-games/mycompany"
"DASS SCIENTIFIC RESEARCH LABS PRIVATE LIMITED is a hospital & health care company based out of F-201 PARTH AVENUE NR ONGC COLONY, CHANDKHEDA, AHMEDABAD, Gujarat, India.","Higher Education",27696072,"2023-10-02T16:49:53.000Z","Animation, 3D Visualization, Mathematics, Simulation, Petroleum Engineering, Rearch, Mathematical Concepts","dasssrl.com","dass-scientific-research-labs-private-limited","IN","2-10 employees","DASS SCIENTIFIC RESEARCH LABS PRIVATE LIMITED","AHMEDABAD, Gujarat","2023-10-02T17:10:49.842Z",,"https://linkedin.com/company/dass-scientific-research-labs-private-limited/about"
"Data Resolve is focused on addressing issues related to corporate fraud, data leak and employee productivity with security analytics via end points, from in-premise and on-cloud platforms, with products christened as inDefend Solution for Insider Threat Management for Desktop and Laptops and MobSec  Solution for Mobile Workforce Management for Smart Devices.
 
Our product offers a mechanism via which customers can detect and tackle various kinds of sensitive activities pertaining to data loss and data theft. Hence, it provides a proactive approach to the organizations by facilitating the following:
-User Behavioural Analysis, commonly known as UBA
-Centralized Management Console for efficient management
-Real Time Based Incident Reporting via SMS Alerts
-Email Based Daily Reports
-Analytics via Cyber Intelligence Report highlighting the key sensitive data leakage scenarios with proof
 
Team Data Resolve advices to get an overall risk assessment index for your organization along with recommendations on improvisation of policies to minimize the risks detected through the report.",,250130,"2023-10-02T16:49:53.000Z","Encryption, Email Security, Data Loss Prevention (DLP), Endpoint Security, Employee Monitoring, Device Control, Email monitoring, Parental Control, Internet Control, USB Security, Application and Browser Control, Personal Firewall, Portable File Encryption","dataresolve.com","dataresolve-technologies","IN","51-200 employees","Data Resolve Technologies","Noida, Uttar Pradesh","2023-10-02T17:10:49.842Z",83,"https://linkedin.com/company/dataresolve-technologies"
"Data Sutram aims to make external intelligence accessible & usable for Enterprises. 
The objective is to build applications empowered with intel from external sources to help enterprises get answers for business growth.

The core data platform marries data from over 250+ sources to provide awareness of Businesses Data - Identity & Financial Stability of Businesses & Promoters, Consumer Behaviour Patterns - Demographic & Socio-economic trends up to 150m and Market Insights: News, developments & growth trends to enhance the planning & operation execution of these enterprises leading to improved efficiency. 

Since the inception, Data Sutram has built a dynamic team of young data scientists and professionals from similar backgrounds, who are determined to create data-driven solutions for a varied range of businesses. Today, the team is led by data science experts with over 20 years of experience who have managed large teams at Microsoft, Yahoo and such revolutionary organizations across the globe.

The companys proprietary tech has created an impact across the top public listed enterprises in India in BFSI,FMCG & CPG and has played a key role in enabling financial inclusion across the country.

This impact led to the three founders being recognised in the Forbes 30 under 30 list globally, under the enterprise technology category.

#DSSquad",,28161237,"2023-10-02T16:49:53.000Z","Analytics, BFSI, Software Development, Retail, Data Visualisation, Manufacturing, Data Science, Artificial Intelligence, Enterprise Technology, Sales Intelligence, Satellite Imagery, Data Driven Decisions, Alternative Data","datasutram.com","datasutram","IN","11-50 employees","Data Sutram","Mumbai, Maharashtra","2023-10-02T17:10:49.842Z",63,"https://linkedin.com/company/data-sutram"
"Our goal is to empower you to delight your customers, gain deep operational insights, and exceed your strategic objectives.","Business Consulting and Services",7956032,"2023-10-02T16:49:53.000Z","Artificial Intelligence",,"datalog.ai","US","2-10 employees","Datalog, Inc.","San Francisco, CA","2023-10-02T17:10:49.842Z",,"https://www.linkedin.com/company/datalog.ai/"
"Datsme is a social health app that helps people develop meaningful connections.

We bring in the worlds leading friendship experts to teach video masterclasses along with 80+ audio sessions about the science of friendship and bonding.

We are creating a social community that runs on our proprietary Twelve Rings Test which connects people based on their personal bonding style.

We also help people track their most important connections with reminders.

For more Info, Visit ","Software Development",14531617,"2023-10-02T16:49:53.000Z","","linktr.ee","datsme","IN","11-50 employees","Datsme","New Delhi, Delhi","2023-10-02T17:10:49.842Z",32,"https://linkedin.com/company/datsme"
"MethdAI is making the next generation of learners equipped with AI without the need for a coding background. It offers interactive DIY Artificial Intelligence learning pathways. Learn from well-curated activities and hands-on projects on any device, at your own pace.","E-Learning Providers",69188495,"2023-10-02T16:49:53.000Z","Natural Language Processing, Programming, E-Learning, Education, Data Science, Computer Vision, Artificial Intelligence, Machine Learning, EdTech, Deep Learning",,"methdai","IN","11-50 employees","MethdAI - The AI Learning Platform","Noida, Uttar Pradesh","2023-10-02T17:10:49.842Z",5,"https://linkedin.com/company/therealdcodeai/about"
"Deciml is an investment app that automatically rounds up your online transactions and instantly invests the spare change. 

Heres what a day with Deciml looks like:

- Took a cab to work ~ paid 199 online ~ invested 1
- Ordered biryani for lunch ~ paid 395 online ~ invested 5
- Picked up groceries on the way home ~ paid 281 online ~ invested 9

Total money invested in a day without even trying = 15!

Start making the most of your money now.",,72417809,"2023-10-02T16:49:53.000Z","investments, saving, finance, fintech, round-up investing","deciml.in","decimlapp","IN","11-50 employees","Deciml App","Pune","2023-10-02T17:10:49.842Z",20,"http://linkedin.com/company/decimlapp/"
"DeepSight AI labs formed by team which has a strong passion to use AI technologies to assist in ensuring the safety and increase the business

We have built Deep Learning  based computer vision platform known as GoDeep to detect objects from the live video streaming . We have developed customised Deep Learning models to detect objects with increased accuracy  in few seconds . We have labs in Bangalore, New Delhi  (India) and Los Angeles (US) . Our in-house platform known as ""GoDeep"" which can be installed locally and configured to the local CCTV cameras (Analog and IP cameras) in matter of few hours. As soon this configuration completes normal camera will be transformed  to Intelligent camera. 

Deep Sight Labs have developed solution that can address various industries namely Retail, Logistics, Warehouse , Banking where Computer vision can make increased impact on increasing business value and security","Information Technology and Services",13734444,"2023-10-02T16:49:53.000Z","Security, Safety, Data Science, Computer Vision, Image Processing, Python, IoT, Machine Learning, Deep Learning, CUDA, CNN, Tensorflow, Deep Learning Platform, Open CV","deepsightlabs.com","deepsight-ai-labs","IN","11-50 employees","DeepSight AI Labs Pvt Ltd","Gurgaon, Haryana","2023-10-02T17:10:49.842Z",15,"https://linkedin.com/company/deepsight-ai-labs"
"Cloud Based Live commerce platform","Broadcast Media Production and Distribution",31191276,"2023-10-02T16:49:53.000Z","publishers, e-commerce, digital media, advertisers, livestreaming, livecommerce, sho, shoppablevideo","degpeg.com","degpeg","SG","51-200 employees","degpeg","Singapore","2023-10-02T17:10:49.842Z",17,"http://www.linkedin.com/company/degpeg"
"Deliverr is now part of Flexport! Supercharge your global logistics from port to porch with a tech-enabled network of freight and fulfillment solutions.","Transportation, Logistics, Supply Chain and Storage",18258498,"2023-10-02T16:49:53.000Z","eCommerce, Fulfillment, Logistics, Multi-Channel","flexport.com","deliverr-inc","US","1,001-5,000 employees","Deliverr Inc.","San Francisco, California","2023-10-02T17:10:49.842Z",115,"https://linkedin.com/company/deliverr-inc/about"
"Dentistry.AI is building powerful artificial intelligence technology for dentists around the world. Our first product is a software-only automatic caries predictor that works on bitewing x-rays. We are running clinical investigation of our medical device. Our software is deployed in many clinics in the United States and Europe. It works with all the major dental imaging applications and can be easily integrated with the existing workflows of a dental clinic.

If you are a licensed practicing dentist and want to try Dentistry.AI software in your clinic, please visit www.dentistry.ai to sign up. For any other collaboration, please write to us at contact@dentistry.ai.",,28623791,"2023-10-02T16:49:53.000Z","Healthcare, Dentistry, Artificial Intelligence, Radiology, Deep Learning","dentistry.ai","dentistry-ai","US","11-50 employees","Dentistry.AI","Pompano Beach, Florida","2023-10-02T17:10:49.842Z",5,"http://www.linkedin.com/company/dentistry-ai"
"DesignCafe, a recognized soonicorn, is India's best Home Interior Designs' solutions' company, was founded in Bangalore, and is now present in more than 10 Indian cities.

DesignCafe was founded with a mission to democratize good interior design solutions for middle-class homemakers in India. We believe Indian homeowners deserve best-in-the-world, Home Interiors' Solutions', and WE at DesignCafe will be at the forefront to deliver it. DesignCafe is expanding its footprint across the country, to ensure this change is accessible to everyone, irrespective of their project's size, budget or location. 

We've changed the way Home Interiors are designed & executed, just walk into our nearest experience center in Bangalore, Mumbai, Hyderabad, Chennai, Coimbatore, Mysore or Pune or visit www.designcafe.com to see how we deliver designer homes, personalized to every homeowner. 

DesignCafe is a winner of multiple awards including the ET and Times Now Innovative company of the year and the TOI Interior designer of the year award.

DesignCafe was founded in 2015, by award-winning architects & designers Gita Ramanan and Shezan Bhojani, who together bring more than three decades of national and international design experience to the table. A pair of workaholic entrepreneurs, they are both Innovators and Magicians alike and are driven to bring the power of design to millions of lives.","Design Services",2413957,"2023-10-02T16:49:53.000Z","Interior Design, Home Design, Home Interiors, Residential interiors, Interior Design solutions, Best Home Interior design in India, Mumbai home interiors, space-maximization, No 1 Home Interiors solution providers, Hyderabad interior design, Bangalore home interiors, Chennai home interiors, Coimbatore home interiors, Mysore home interiors, Pune home interiors","designcafe.com","design-cafe","IN","501-1,000 employees","Design Cafe","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",811,"https://linkedin.com/company/design-cafe"
"https://devdarshanapp.com/install/devdarshanapp

DevDarshan is Devotional Platform for 5000+ Temples in the  Indian Subcontinent. DevDarshan facilitates Daily & LIVE Darshan, Online Pujas and Digital Donations for Devotees 
 
Our long term vision is to provide a Digital Platform to Temples and Gurus for sharing the millennia-old teachings of Hinduism and Buddhism, Sikhism and Jainism and Indian civilization, the world's oldest civilization and by doing so, projecting Bharat (India) as Vishwa Guru (Universal Leader) through its rich cultural and spiritual heritage  

DevDarshan has onboarded 150+ Temples across 16 States in India 

So, come join us in this collective spiritual journey 

Watch Daily & LIVE Darshan, Aarti & Devotional Videos  

Engage with Dharmic Reactions by offering Flowers, Bhog, Diya on Devotional Posts

Read Interesting Facts about Temples & Mythological Stories 

Filter Temples by Gods & States

Participate in Online Puja from your Home and receive God's Blessings 
  
Name and Gotra will be chanted during Puja Sankalp in Famous Temples 

Prasad will be delivered to your Home from Temples ","Religious Institutions",68986760,"2023-10-02T16:49:53.000Z","Spirituality, Indian Culture, Religious Content, Devotional Platform, Temples & Gurus","devdarshanapp.com","devdarshanapp","IN","11-50 employees","DevDarshan","Noida","2023-10-02T17:10:49.842Z",26,"https://linkedin.com/company/devdarshan"
"Devtron is the software delivery platform for Kubernetes apps that unifies and enhances the most trusted open-source DevOps solutions into a single, powerful delivery platform. With Devtron, DevOps and Platform Engineering teams can quickly provide an open-source, self-service developer platform that is easy to use, has powerful enterprise capabilities, and improves the efficiency of the engineering team.","Software Development",30188106,"2023-10-02T16:49:53.000Z","open source, devops, continuous integration, continuous delivery, kubernetes, devsecops, AKS, EKS, GKE, appops","devtron.ai","devtron-labs","US","11-50 employees","Devtron Inc.","Wilmington, Delaware","2023-10-02T17:10:49.842Z",63,"https://linkedin.com/company/devtron-labs"
"For the first time in India, we are introducing a Conversational AI interface for the job seekers in the informal sector (90% of Indias workforce) who can create their profile/resume just by speaking to their smartphone through a series of voice commands in their own native language. Dhiyo leverages state-of-the-art NLP(U) and ML techniques to deliver the industry's most robust and engaging conversational experience. Through open-ended, natural and dynamic conversations, we are able to gather deep candidate insights and build trust and confidence with our job seekers and connecting them with right employers. We also run background checks against Aadhar database and other 3rd party databases while we build candidate profile.  Now with our technology, they are empowered to make an active presence on the job market on their own in a simple, intuitive way without any dependency on middle-men.","Software Development",14696574,"2023-10-02T16:49:53.000Z","Multilingual, NLP, Artificial Intelligence, AI, Machine Learning, BlueCollar Workforce, Conversation AI platform, Next Billion Users, Job platform","dhiyo.ai","dhiyo-ai","IN","2-10 employees","Dhiyo.ai","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",6,"http://www.linkedin.com/company/dhiyo-ai"
"Dice Tech UK is the unrivalled resource for connecting IT professionals with IT companies.

We are the first choice job site for millions of IT professional and industry leading companies including Google, IBM, Oracle, Accenture and Cap Gemini.

Only Dice Tech UK makes your IT job search simple.","Staffing and Recruiting",65630,"2023-10-02T16:49:53.000Z","IT Recruitment and Tech Recruitment","dice.com","dice-tech-uk","GB","51-200 employees","Dice Tech UK","London","2023-10-02T17:10:49.842Z",28,"http://linkedin.com/company/dice-tech-uk"
"WE ARE HIRING !!

The world is evolving with new technology, with a lot of Data.

Petabytes of data is being generated by the extended enterprise, from customers to regulators to colleagues and partners. It is becoming increasingly impossible to make sense of all the data. 

At Digilytics, we aim to drive BUSINESS VALUE leveraging our platform. In an ever-crowded world of clever technology solutions looking for a problem to solve, our solutions start with a keen understanding of what creates and what destroys value in your business. 

The leadership of Digilytics is deeply rooted in leveraging disruptive technology to drive profitable business growth. With over 50 years of combined experience in technology-enabled change, the Digilytics leadership is focused on building a values-first firm that will stand the test of time. The leadership strongly believes in the ethos of enabling intelligence across the organization.","IT Services and IT Consulting",9210176,"2023-10-02T16:49:53.000Z","Analytics, analytics, Big Data, auto, financial services, Software-as-a-Service, aftermarket, lending, Data Science, Artificial Intelligence, fintech, mortgages, AI, Machine Learning, Visualisation, Cognitive Computing, mortgage lender, secured lending, Conversational Analytics, digital lending, Real-time Intelligence","digilytics.ai","digilytics-ai","GB","11-50 employees","Digilytics AI","London, United Kingdom","2023-10-02T17:10:49.842Z",57,"http://www.linkedin.com/company/digilytics-ai"
"Digital Aristotle (DA) is an emerging technology company head-quartered in Bangalore, India, leveraging modern technologies of artificial intelligence, natural language processing and machine learning to deliver meaningful insights from data that are customized to the need of the individual. Our solutions deliver high-quality analytics to better understand oneself and thereby take corrective actions. Digital Aristotle currently works in the domains of education and healthcare.",,13380849,"2023-10-02T16:49:53.000Z","Assessments, Artificial Intelligence, Machine learning, Natural Language processing, k-12 Education","digitalaristotle.ai","digital-aristotle","IN","11-50 employees","Digital Aristotle","Bangalore, Karnataka","2023-10-02T17:10:49.842Z",21,"http://www.linkedin.com/company/digital-aristotle"
"DIGITAP provides high tech advanced AI/ML solutions to new age internet driven businesses for reliable, fast and 100% compliant Customer Onboarding, Automated Risk Management along with Big Data enabled services like Risk Analytics and Customized Scorecards. Our proprietary Machine Learning Algorithms and Modules provide one of the best success rates in the market.

Our Services includes;

1. LOS and Customer Onboarding Suite
2. Employment & Income Verification 
3. Account Aggregator Solutions
4. Alternate Data Based Risk Management Suite
5. Expense Manager
6. Digi - KYC 
7. Digilocker
8. Digi Sign & Digi - Nach

All the solutions are accessible in the form of easy to integrate APIs. 
Visit us to know more!",,54288111,"2023-10-02T16:49:53.000Z","Analytics, Underwriting, Risk Management, Expense Management, KYC, AI, ML, financial-services, customer onboarding, DigiLocker, Bank Parsing, Fintech APIs, TSP for Account Aggregators","digitap.ai","digitap-ai","IN","51-200 employees","Digitap.ai","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",53,"http://www.linkedin.com/company/digitap-ai"
"We are a digital security and privacy solution provider. Our inspiration behind starting the company is to develop a simplified, fast, and secured data anonymization framework. We build tools, based on state-of-the-art contemporary research. Our aim is to design tools that enable Digital Security without compromising the privacy and confidentiality of the data subjects.",,69043474,"2023-10-02T16:49:53.000Z","","disecto.com","disecto","IN","11-50 employees","Disecto","Ahmedabad","2023-10-02T17:10:49.842Z",5,"https://linkedin.com/company/disecto/about"
"Docplexus is one of the world's largest and fastest growing online communities of 3,80,000+ verified doctors. It empowers doctors to make better clinical decisions, leading to improved healthcare outcomes by facilitating the exchange of patient cases and scientific dialogue through webinars and CMEs, as well as the latest clinical articles, guidelines, news, and more. Doctors can view, ask, learn, contribute, and interact as a safe and secure community on Docplexus. 

Some Key Numbers:
 3,80,000+ doctors across 99+ specialties and 1,632 cities
 6,500+ doctors log onto Docplexus website daily
 2,500+ monthly registrations
 64,000+ clinical cases discussed till date","Software Development",3104699,"2023-10-02T16:49:53.000Z","Healthcare Marketing, Digital Marketing, Healthcare, Online Services, Doctors, Medicine, Healthcare Innovation, Pharma Marketing, Digital Healthcare, Healthcare Professionals","docplexus.com","docplexus-online-services-pvt-ltd-","IN","51-200 employees","Docplexus","Pune, Maharashtra","2023-10-02T17:10:49.842Z",101,"https://linkedin.com/company/docplexus-online-services-pvt-ltd-"
"Dojima network is a blockchain technology company which develops a cross-chain interoperability blockchain that allows of transferring tokens in between layer1, layer2 chains and provide infrastructure to develop applications on dojima which facilitates to talk layer1, layer2 chains in to and fro manner from single place. Dojima also provides cross-chain wallet to manage multiple blockchain tokens at one place and allows send, receive tokens. Currently, supported blockchains are Dojima, Ethereum, Solana, Polkadot, Arweave, Binance. In future, we support layer2 blockchains.","Technology, Information and Internet",81682016,"2023-10-02T16:49:53.000Z","","dojima.network","dojimanetwork","IN","11-50 employees","Dojima Network","Bangalore, Karnataka","2023-10-02T17:10:49.842Z",28,"https://linkedin.com/company/dojimanetwork"
"DolphinChat is a Conversational Commerce platform that enables eCommerce, Retail brands to provide an assisted, personalized shopping experience to their consumers via chat. DolphinChat covers the entire shopping journey from product discovery to post-sales customer support over chat.","Software Development",74622547,"2023-10-02T16:49:53.000Z","Natural Language Processing, E-Commerce, Customer Support, Live Chat, Artificial Intelligence, Instagram, Social Selling, Chatbots, Facebook Messenger, Conversational Commerce, Conversational Marketing, B2B SaaS, Automated Chat, Contextual Commerce, Shopping Assistant, B2C Communication, Ecommerce Enablement, WhatsApp Chatbot, Contextual Assistants, WhatsApp eCommerce, eCommerce Chatbots","dolphinchat.ai","dolphinchat","IN","11-50 employees","DolphinChat (Formerly CivilCops)","Gurugram, Haryana","2023-10-02T17:10:49.842Z",3,"https://linkedin.com/company/dolphinchat/about"
"Doxper is India's leading healthcare digitisation solution, and the largest source of longitudinal real world data in the outpatient setting. Its proprietary, AI powered digital pen and paper solution allows doctors to instantly digitise their case sheets without any change in behaviour or workflow. 

Doxper is recognised and integrated with India's Ayushman Bharat Digital Mission (ABDM).

Hospitals: Digitise entire OPD, track and plug revenue leakage.

Clinics: Automate patient engagement and increase follow up visits compliance.

Public Health: Full accountability and audit trail. Digitise remote locations with no Internet access.

Clinical Trials: Intuitive data capture for lengthy case record forms with fully transcribed output.

Pharma: Real world insights from aggregated, anonymised longitudinal datasets. India's largest in the OPD setting. More than 30 million records.

Insurance: Detect and deter fraud. Rapid TAT for claims with automation. Granular risk profiling/pricing, launch new products like OPD insurance.

Digitising without any change in behaviour or workflow has led to rapid adoption and stickiness of our solution in India, with more than 6000 active doctors across independent clinics and 80 hospitals. We are also serving over 4000 doctors in Bangladesh.",,10298294,"2023-10-02T16:49:53.000Z","EMR, Pharma, Insurance, Public Health, Interoperability, Medical Informatics, AI, Hospitals, Digital Health, Clinics, Deep Learning, Insights & Analytics, Handwriting Recognition, Data Input, Digital Pen, Clinical Workflow Management, Digitise Outpatient Records, No Behaviour Change, No Workflow Change","doxper.com","doxper","IN","51-200 employees","Doxper | a meddo health brand","Mumbai, Maharashtra","2023-10-02T17:10:49.842Z",56,"https://linkedin.com/company/doxper"
"Dozee is Indias 1st AI-based contactless Remote Patient Monitoring (RPM) & Early Warning System (EWS) for continuous patient monitoring with a mission to develop & deploy intelligent technologies, solutions, and networks to provide a continuum of care, early warning systems, and responses to save lives.

Supported by the Government of India through BIRAC, Dozee is on a path to steer the trajectory of the public and private healthcare ecosystem. With the aim of providing connected health in every bed, Dozee strives to improve access and put patient care first with its vision of #HarBedDozeeBed. Dozee tracks vital parameters such as the Heart Rate, Respiratory Rate, Blood Pressure, Blood Oxygen Saturation, and Skin Temperature with clinical grade accuracy, and tracks sleep quality while flagging indicators of sleep apnea.

By automating patient monitoring through Dozee, nearly 2.5 hours of nursing time is saved every day per patient. It is a truly Made in India innovation with global standards in patient safety, data security, privacy, and reliability - trusted by top-of-the-line healthcare providers across the country.

Dozee continues to reimagine health and create a future where healthcare is smarter and connected.","Hospitals and Health Care",6635733,"2023-10-02T16:49:53.000Z","Healthcare, Medical Devices, Innovation, Public Healthcare, AI Based Tech","dozee.health","dozeehealth","IN","51-200 employees","Dozee","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",222,"https://linkedin.com/company/dozee-health"
"DrinkPrime was started to solve a personal problem - How do we get access to clean, safe, and healthy drinking water? Seems simple, but heres what we found.

First, most of the water you get in plastic cans isnt fit for drinking. Second, less than 5% of Indians actually own a water purifier! Thats when we realised this wasnt just a personal problem but an opportunity to help a lot of people.

Its been five years since we started on this journey. Today, more than 25,000 households in 7 cities trust us to access clean and safe drinking water!

DrinkSafe.
DrinkPrime.","Consumer Services",10224858,"2023-10-02T16:49:53.000Z","Consumer Services, Retail, E Commerce, Drinking Water, Internet of Things, Home Delivery, Water Purification, Hyper Local, Consumer IoT","drinkprime.in","drinkprime","IN","51-200 employees","DrinkPrime","Bangalore, Karnataka","2023-10-02T17:10:49.842Z",165,"https://linkedin.com/company/drinkprime"
"4th Dymension Teknocrats (4thDT) is an innovation driven product Development Company that provides software solution services to its client and build next generation solutions in internet space. 4thDT has developed and launched SaaS based services such as www.makemysociety.com and www.drivekool.com . 

www.DriveKool.com is Indias first driving school booking site. Its a cloud based innovative and comprehensive solution for motor driving schools. 

It creates value for driving schools by increasing revenue and efficiency by booking empty slots and saving time and money that is an outcome of negotiation with clients. This solution will enable driving schools to accept booking 24x7.  

For students it provides totally new and pleasant user experience of learning driving. Searching school based on various search criteria and rating while having a cup of coffee to become possible, thanks to this solution. They can complete process of booking a training slot in a matter of few clicks versus visiting multiple schools physically before or after their business hours. Students pay for the services and a decent experience and this platform just promises the same. 


Contact: contact@4thds.com, contact@drivekool.com, contact@makemysociety.com",,3158755,"2023-10-02T16:49:53.000Z","Microsoft, SaaS, Analytics, Product engineering, Cloud Computing, Healthcare, Java, Big Data, Education, Web Technologies, Utilities, Aviation, Open Source, Telecom, Mobility, Software Services, HR & Payroll, Performance Engineering & Testing","drivekool.com","4th-dymension-teknocrats","IN","11-50 employees","4th Dymension Teknocrats India LLP","Bangalore, Karnataka","2023-10-02T17:10:49.842Z",8,"https://www.linkedin.com/company/4th-dymension-teknocrats"
"Drivezy, the next-generation car & bike sharing platform is here to transform the way vehicles are purchased & utilized. We envision a future where owning a car or bike will be a thing of the past. We're the fastest growing firm in the car & bike rental business in India.

Android App: https://play.google.com/store/apps/details?id=in.justride
iOS App: https://itunes.apple.com/in/app/drivezy/id1048221336?mt=8","Travel Arrangements",6460594,"2023-10-02T16:49:53.000Z","Bike Rental, Car Rental, Car for rent, Rent a car, commute, Self - Drive, Rent a bike, DrivezyFranchise, JustConnect, smartcommute, Bike for rent","drivezy.com","drivezy","IN","201-500 employees","Drivezy","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",182,"https://linkedin.com/company/drivezy"
"Drivetrain is a financial planning & decision-making platform that helps businesses scale and achieve their targets predictably.","Software Development",71174461,"2023-10-02T16:49:53.000Z","","drivetrain.ai","drivetrainai","US","51-200 employees","Drivetrain","Sunnyvale, California","2023-10-02T17:10:49.842Z",52,"https://linkedin.com/company/drivetrainai"
"DriveU is India's largest private driver network & a young startup at heart. DriveU functions across multiple cities with 24x7 operation centres and driver partners on our platform. Our chauffeuring system practices complete transparency that focuses on customers needs first by creating a clear pricing model based on use, consistent service quality, and have used technology to increase the efficiency and earnings of our driver partners. 

We are an eccentric vanguard of enthusiastic animal lovers who share a passion for building products that are earthshaking and benevolent to your needs; hence improving the quality of living. 

DriveU is driven because of customers such as you and because of mad savants that believe in building extraordinary products and providing the best service. 
At DRIVEU, our customers are the most important part of our company. We are here to do everything to make your drive more pleasant. We work as a pack. Your ideas to make DriveU are at the forefront. If you are someone who takes the wheel instead of the backseat, DriveU would love to hear from you.","Internet Marketplace Platforms",10130445,"2023-10-02T16:49:53.000Z","Car Care, Car Insurance, Car Wash, Car Servicing, Professional Chauffeurs, Driver rental package plans, No surge pricing, Professional Car Drivers","driveu.in","driveu","IN","51-200 employees","DriveU","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",279,"https://linkedin.com/company/driveu/about"
"Dron Digital Services Private Limited is a company founded by the students of IIT Ropar. Dron is an enterprise which brings full Campus digitization solutions for day to day needs of students and college administration via intra-college mobile App and website. Dron also install hardware like Biometric, RFID systems etc for entry/exit system and manages the same data on user's interface i.e. app and website for users to keep a record of their activities. Dron manages database of every users activities and do data analytics of users previous choices.","IT Services and IT Consulting",13460622,"2023-10-02T16:49:53.000Z","Information Technology and Services","drondigital.com","dron-digital-services","IN","2-10 employees","Dron Digital Services","Ropar, Punjab","2023-10-02T17:10:49.842Z",,"https://linkedin.com/company/dron-digital-services/about"
"* Our Company is focused on providing customized robots for a wide range of customers from Individuals, Private and Public sectors. 

* We identify problems and challenges faced in private and public sectors and provide innovative technological solutions in terms of products and services.
 
* Customized Robots are designed and developed by using knowledge of various disciplines of Engineering and High-end Technology.",,14594018,"2023-10-02T16:49:53.000Z","Sewage Pipe Cleaning Robots","dronaautomations.com","drona-automations-pvt-ltd","IN","2-10 employees","Drona Automations","Bengaluru, Karnataka","2023-10-02T17:10:49.842Z",8,"https://linkedin.com/company/drona-automations-pvt-ltd"
"DronaHQ - low code platform for engineering teams to democratize custom application development.  A developer toolset for building operational apps, internal tools, portals, widgets, and more.

#Empowering you to build digital tools, streamline processes, and drive your productivity. Allowing you to focus on delivering high impact work, efficiently.

Loved by developers and IT professionals & trusted by enterprises to build web and mobile applications like internal tools, custom business apps, forms, admin panels, dashboards, automating business process. Offering visual development, pre-built UI components, ready connectors for compelling developer productivity gains, speed of delivery, while ensuring rich end-user experience.

DronaHQ SaaS Platform offers unlimited apps and connectors across all plans with: 
- Visual development - Drag and Drop UI/UX Builder
- Ready database connectors
- API Connectors
- Web & Mobile apps
- Automations
- Business logic editor
- Custom branding
- SSO
- Embeddable Apps
- PDF generator

Successfully enabled large enterprises such as Bandwidth, Purplle.com, Urban Ladder, ENDY, IndigoAG, IDFC Bank, Boston Scientific, Mondelez, LTI, Pfizer India Ltd, Colgate-Palmolive, Wipro Technologies, SANY, SAR Group, Axis Asset Management Pvt Ltd, Future Group, Kotak Securities, ICICI Prudential, Disney Hotstar, more

DronaHQ, is SOC II and ISO 27001 certified. It has been recognised by industry association and won accolades from Gartner, Qualcomm, IMAI, NASSCOM to name a few.  

Send in your queries at inquiries@dronahq.com","Software Development",225531,"2023-10-02T16:49:53.000Z","digital transformation, custom application development, developer tools, automations, productivity tools, custom apps, low-code, Dashboard apps, custom cloud apps, internal applications, internal tools, web and mobile solutions, operational tools, crud app, database gui, automation apps, embeddable apps, lowcode apps","dronahq.com","deltecs-infotech","US","51-200 employees","DronaHQ","San Francisco, California","2023-10-02T17:10:49.842Z",64,"https://www.linkedin.com/company/deltecs-infotech"
"We provide drone based solutions across various industries using 3D models as our baseline.",,13399809,"2023-10-02T16:49:53.000Z","Augmented Reality, IT Infrastructure, Technology, 3D, Platform, Virtual Reality, Artificial Intelligence, Machine Learning, UAV, Photogrammetry, Maps, Team, Drone, Autonomous","dronamaps.com","dronamaps-pvt-ltd","IN","11-50 employees","DronaMaps","Gurgaon, Haryana","2023-10-02T17:10:49.842Z",10,"http://linkedin.com/company/dronamaps-pvt-ltd"
